date,product_id,category,quantity_sold,stock_quantity,expiration_days,price,promotion,day_of_week,waste_risk
2025-12-03,47,laitage,6,69,4,11.39,0,6,15.75
2025-12-04,41,legumes,4,53,8,14.3,0,0,6.12
2025-12-05,34,laitage,19,57,8,11.77,0,5,4.75
2025-12-06,48,viande,18,42,4,1.4,0,6,6.0
2025-12-07,37,fruits,20,104,4,8.65,0,1,21.0
2025-12-08,47,viande,0,145,1,12.91,0,0,145.0
2025-12-09,26,boulangerie,29,39,3,5.74,1,6,3.33
2025-12-10,44,viande,14,94,5,11.68,0,1,16.0
2025-12-11,24,fruits,17,40,4,10.47,0,3,5.75
2025-12-12,4,boulangerie,0,28,7,6.28,1,5,4.0
2025-12-13,8,legumes,25,21,6,8.32,0,2,-0.67
2025-12-14,9,viande,29,96,8,8.77,0,5,8.38
2025-12-15,5,viande,14,101,3,11.83,0,0,29.0
2025-12-16,2,boulangerie,18,27,8,1.94,0,2,1.12
2025-12-17,6,legumes,19,60,5,5.37,0,5,8.2
2025-12-18,38,viande,6,74,3,9.28,0,1,22.67
2025-12-19,24,boulangerie,13,59,2,7.43,0,5,23.0
2025-12-20,12,viande,11,105,9,2.67,0,4,10.44
2025-12-21,20,boulangerie,23,122,9,14.05,0,0,11.0
2025-12-22,14,laitage,4,113,9,14.06,0,0,12.11
2025-12-23,28,boulangerie,10,59,3,9.28,0,2,16.33
2025-12-24,30,fruits,25,104,8,11.57,0,2,9.88
2025-12-25,40,legumes,14,104,7,3.07,0,5,12.86
2025-12-26,30,legumes,24,99,2,5.83,0,5,37.5
2025-12-27,9,boulangerie,10,149,5,10.68,0,5,27.8
2025-12-28,45,viande,24,37,2,6.3,0,3,6.5
2025-12-29,11,legumes,14,121,7,5.0,0,6,15.29
2025-12-30,19,fruits,18,67,4,10.87,0,6,12.25
2025-12-31,15,laitage,0,137,4,7.53,0,5,34.25
2026-01-01,26,legumes,27,116,1,1.44,0,4,89.0
2026-01-02,9,boulangerie,10,26,1,12.33,0,6,16.0
2026-01-03,25,legumes,7,86,5,3.27,1,4,15.8
2026-01-04,46,viande,25,8,2,8.67,1,6,-8.5
2026-01-05,8,viande,13,102,2,6.96,0,4,44.5
2026-01-06,8,laitage,29,60,8,1.04,1,1,3.88
2026-01-07,5,legumes,17,114,8,6.71,0,6,12.12
2026-01-08,27,viande,2,25,1,14.04,0,0,23.0
2026-01-09,43,legumes,6,62,7,3.6,0,6,8.0
2026-01-10,16,laitage,26,46,7,1.57,0,3,2.86
2026-01-11,32,boulangerie,21,50,1,4.91,0,4,29.0
2026-01-12,45,fruits,27,84,6,1.83,0,4,9.5
2026-01-13,32,fruits,21,66,4,5.67,0,3,11.25
2026-01-14,22,fruits,26,44,6,13.9,1,3,3.0
2026-01-15,48,viande,7,32,9,1.3,0,0,2.78
2026-01-16,25,boulangerie,6,100,8,0.82,0,3,11.75
2026-01-17,3,laitage,3,100,2,8.17,0,0,48.5
2026-01-18,34,legumes,3,114,9,9.77,0,4,12.33
2026-01-19,39,boulangerie,17,34,9,14.98,0,4,1.89
2026-01-20,48,laitage,20,130,7,11.61,1,1,15.71
2026-01-21,34,boulangerie,13,94,6,13.28,0,4,13.5
2026-01-22,1,laitage,17,53,6,7.32,0,4,6.0
2026-01-23,31,viande,9,15,1,10.65,1,2,6.0
2026-01-24,26,legumes,25,59,4,3.88,0,2,8.5
2026-01-25,19,legumes,2,84,7,7.87,0,4,11.71
2026-01-26,28,fruits,21,11,8,9.95,0,3,-1.25
2026-01-27,48,viande,4,76,2,8.41,0,6,36.0
